Unit 72 -> (tensor(0.9487, device='cuda:0', dtype=torch.float16), 1.9853515625)
Unit 73 -> (tensor(0.9873, device='cuda:0', dtype=torch.float16), 1.1912841796875)
Unit 74 -> (tensor(0.9883, device='cuda:0', dtype=torch.float16), 1.9169921875)
Unit 75 -> (tensor(0.9756, device='cuda:0', dtype=torch.float16), 1.8896484375)
Unit 76 -> (tensor(0.1869, device='cuda:0', dtype=torch.float16), 1.11627197265625)
Unit 77 -> (tensor(0.9863, device='cuda:0', dtype=torch.float16), 0.0234375)
Unit 78 -> (tensor(0.9922, device='cuda:0', dtype=torch.float16), 0.22998046875)
Unit 79 -> (tensor(0.2617, device='cuda:0', dtype=torch.float16), 1.036468505859375)
Unit 80 -> (tensor(0.9536, device='cuda:0', dtype=torch.float16), 0.0732421875)
Unit 81 -> (tensor(0.6279, device='cuda:0', dtype=torch.float16), 1.50634765625)
Unit 82 -> (tensor(0.9922, device='cuda:0', dtype=torch.float16), 1.8505859375)
Unit 83 -> (tensor(0.9829, device='cuda:0', dtype=torch.float16), 0.0390625)
Unit 84 -> (tensor(0.2896, device='cuda:0', dtype=torch.float16), 0.924072265625)
Unit 85 -> (tensor(0.9551, device='cuda:0', dtype=torch.float16), 1.98046875)
Unit 86 -> (tensor(0.9365, device='cuda:0', dtype=torch.float16), 0.20947265625)
Unit 87 -> (tensor(0.9751, device='cuda:0', dtype=torch.float16), 0.03955078125)
Unit 88 -> (tensor(0.9404, device='cuda:0', dtype=torch.float16), 0.0283203125)
Unit 89 -> (tensor(0.9824, device='cuda:0', dtype=torch.float16), 1.9345703125)
Unit 90 -> (tensor(0.9048, device='cuda:0', dtype=torch.float16), 1.8759765625)
Unit 91 -> (tensor(0.9727, device='cuda:0', dtype=torch.float16), 1.83984375)
Unit 92 -> (tensor(0.9961, device='cuda:0', dtype=torch.float16), 1.180908203125)
Unit 93 -> (tensor(0.9751, device='cuda:0', dtype=torch.float16), 1.96630859375)
Unit 94 -> (tensor(0.9902, device='cuda:0', dtype=torch.float16), 1.8701171875)
Unit 95 -> (tensor(0.8877, device='cuda:0', dtype=torch.float16), 1.97509765625)
Unit 96 -> (tensor(0.9868, device='cuda:0', dtype=torch.float16), 0.05908203125)
Unit 97 -> (tensor(0.9819, device='cuda:0', dtype=torch.float16), 1.9833984375)
Unit 98 -> (tensor(0.9722, device='cuda:0', dtype=torch.float16), 0.16162109375)
Unit 99 -> (tensor(0.9937, device='cuda:0', dtype=torch.float16), 1.308837890625)
Unit 100 -> (tensor(0.9810, device='cuda:0', dtype=torch.float16), 0.1025390625)
Unit 101 -> (tensor(0.9912, device='cuda:0', dtype=torch.float16), 1.94091796875)
Unit 102 -> (tensor(0.9756, device='cuda:0', dtype=torch.float16), 1.97900390625)
Unit 103 -> (tensor(0.9834, device='cuda:0', dtype=torch.float16), 1.97216796875)
Unit 104 -> (tensor(0.9849, device='cuda:0', dtype=torch.float16), 1.89404296875)
Unit 105 -> (tensor(0.9600, device='cuda:0', dtype=torch.float16), 1.97509765625)
Unit 106 -> (tensor(0.9575, device='cuda:0', dtype=torch.float16), 1.9736328125)
Unit 107 -> (tensor(0.9907, device='cuda:0', dtype=torch.float16), 0.0703125)
Unit 108 -> (tensor(0.9106, device='cuda:0', dtype=torch.float16), 0.041015625)
Unit 109 -> (tensor(0.9902, device='cuda:0', dtype=torch.float16), 0.04150390625)
Unit 110 -> (tensor(0.9785, device='cuda:0', dtype=torch.float16), 0.03759765625)
Unit 111 -> (tensor(0.9858, device='cuda:0', dtype=torch.float16), 1.943359375)
Unit 112 -> (tensor(0.9780, device='cuda:0', dtype=torch.float16), 0.0263671875)
Unit 113 -> (tensor(0.9702, device='cuda:0', dtype=torch.float16), 1.9638671875)
Unit 114 -> (tensor(0.9946, device='cuda:0', dtype=torch.float16), 1.90185546875)
Unit 115 -> (tensor(0.1476, device='cuda:0', dtype=torch.float16), 0.95623779296875)
Unit 116 -> (tensor(0.9897, device='cuda:0', dtype=torch.float16), 0.03173828125)
Unit 117 -> (tensor(0.9927, device='cuda:0', dtype=torch.float16), 1.7841796875)
Unit 118 -> (tensor(0.9897, device='cuda:0', dtype=torch.float16), 0.04736328125)
Unit 119 -> (tensor(0.9346, device='cuda:0', dtype=torch.float16), 1.99072265625)
Unit 120 -> (tensor(0.9771, device='cuda:0', dtype=torch.float16), 0.03466796875)
Unit 121 -> (tensor(0.9824, device='cuda:0', dtype=torch.float16), 1.9482421875)
Unit 122 -> (tensor(0.9834, device='cuda:0', dtype=torch.float16), 1.95556640625)
Unit 123 -> (tensor(0.9443, device='cuda:0', dtype=torch.float16), 1.9365234375)
Unit 124 -> (tensor(0.9644, device='cuda:0', dtype=torch.float16), 0.12890625)
Unit 125 -> (tensor(0.9683, device='cuda:0', dtype=torch.float16), 0.14794921875)
Unit 126 -> (tensor(0.9976, device='cuda:0', dtype=torch.float16), 1.03887939453125)
Unit 127 -> (tensor(0.9648, device='cuda:0', dtype=torch.float16), 1.9365234375)
Unit 128 -> (tensor(0.9912, device='cuda:0', dtype=torch.float16), 1.89208984375)
Unit 129 -> (tensor(0.9619, device='cuda:0', dtype=torch.float16), 1.884765625)
Unit 130 -> (tensor(0., device='cuda:0', dtype=torch.float16), nan)
Unit 131 -> (tensor(0.9956, device='cuda:0', dtype=torch.float16), 0.941864013671875)
Unit 132 -> (tensor(0.9976, device='cuda:0', dtype=torch.float16), 1.15869140625)
Unit 133 -> (tensor(0.9800, device='cuda:0', dtype=torch.float16), 0.2705078125)
Unit 134 -> (tensor(0.9575, device='cuda:0', dtype=torch.float16), 0.017578125)
Unit 135 -> (tensor(0.9292, device='cuda:0', dtype=torch.float16), 0.017578125)
Unit 136 -> (tensor(0.9927, device='cuda:0', dtype=torch.float16), 0.07958984375)
Unit 137 -> (tensor(0.9863, device='cuda:0', dtype=torch.float16), 1.90576171875)
Unit 138 -> (tensor(0.9717, device='cuda:0', dtype=torch.float16), 0.0185546875)
Unit 139 -> (tensor(0.9121, device='cuda:0', dtype=torch.float16), 1.98828125)
Unit 140 -> (tensor(0.9976, device='cuda:0', dtype=torch.float16), 0.12548828125)
Unit 141 -> (tensor(0., device='cuda:0', dtype=torch.float16), nan)
Unit 142 -> (tensor(0.9961, device='cuda:0', dtype=torch.float16), 1.71337890625)
Unit 143 -> (tensor(0.1145, device='cuda:0', dtype=torch.float16), 1.169189453125)
Unit 144 -> (tensor(0.9629, device='cuda:0', dtype=torch.float16), 0.01953125)
Unit 145 -> (tensor(0.9258, device='cuda:0', dtype=torch.float16), 0.037109375)
Unit 146 -> (tensor(0.9849, device='cuda:0', dtype=torch.float16), 1.9599609375)
Unit 147 -> (tensor(0.9702, device='cuda:0', dtype=torch.float16), 0.04052734375)
Unit 148 -> (tensor(0.8677, device='cuda:0', dtype=torch.float16), 0.46337890625)
Unit 149 -> (tensor(0.9624, device='cuda:0', dtype=torch.float16), 0.0302734375)
Unit 150 -> (tensor(0.1420, device='cuda:0', dtype=torch.float16), 0.9912948608398438)
Unit 151 -> (tensor(0.9961, device='cuda:0', dtype=torch.float16), 0.84326171875)
Unit 152 -> (tensor(0.9517, device='cuda:0', dtype=torch.float16), 1.98779296875)
Unit 153 -> (tensor(0.9595, device='cuda:0', dtype=torch.float16), 1.9892578125)
Unit 154 -> (tensor(0.9375, device='cuda:0', dtype=torch.float16), 0.02978515625)
Unit 155 -> (tensor(0.9854, device='cuda:0', dtype=torch.float16), 0.02490234375)
Unit 156 -> (tensor(0.9771, device='cuda:0', dtype=torch.float16), 0.02880859375)
Unit 157 -> (tensor(0.9653, device='cuda:0', dtype=torch.float16), 0.03857421875)
Unit 158 -> (tensor(0.9932, device='cuda:0', dtype=torch.float16), 0.87908935546875)
Unit 159 -> (tensor(0.9897, device='cuda:0', dtype=torch.float16), 0.32763671875)
Unit 160 -> (tensor(0.9624, device='cuda:0', dtype=torch.float16), 1.97265625)
