
Unit 71 -> (tensor(0.9019, device='cuda:0', dtype=torch.float16), 1.9462890625)
Unit 72 -> (tensor(0.9199, device='cuda:0', dtype=torch.float16), 0.123046875)
Unit 73 -> (tensor(0.9712, device='cuda:0', dtype=torch.float16), 0.08349609375)
Unit 74 -> (tensor(0.9443, device='cuda:0', dtype=torch.float16), 0.0791015625)
Unit 75 -> (tensor(0.9126, device='cuda:0', dtype=torch.float16), 1.89501953125)
Unit 76 -> (tensor(0.9502, device='cuda:0', dtype=torch.float16), 1.92578125)
Unit 77 -> (tensor(0.9038, device='cuda:0', dtype=torch.float16), 1.94384765625)
Unit 78 -> (tensor(0.9854, device='cuda:0', dtype=torch.float16), 1.91552734375)
Unit 79 -> (tensor(0.9556, device='cuda:0', dtype=torch.float16), 1.88134765625)
Unit 80 -> (tensor(0.9014, device='cuda:0', dtype=torch.float16), 0.025390625)
Unit 81 -> (tensor(0.9478, device='cuda:0', dtype=torch.float16), 0.05859375)
Unit 82 -> (tensor(0.9702, device='cuda:0', dtype=torch.float16), 1.953125)
Unit 83 -> (tensor(0.6821, device='cuda:0', dtype=torch.float16), 1.546875)
Unit 84 -> (tensor(0.1277, device='cuda:0', dtype=torch.float16), 1.002450942993164)
Unit 85 -> (tensor(0.9419, device='cuda:0', dtype=torch.float16), 0.06982421875)
Unit 86 -> (tensor(0.9263, device='cuda:0', dtype=torch.float16), 1.857421875)
Unit 87 -> (tensor(0.9795, device='cuda:0', dtype=torch.float16), 0.1474609375)
Unit 88 -> (tensor(0.9546, device='cuda:0', dtype=torch.float16), 0.0849609375)
Unit 89 -> (tensor(0.9521, device='cuda:0', dtype=torch.float16), 1.951171875)
Unit 90 -> (tensor(0.9814, device='cuda:0', dtype=torch.float16), 0.15185546875)
Unit 91 -> (tensor(0.9043, device='cuda:0', dtype=torch.float16), 0.0908203125)
Unit 92 -> (tensor(0.9478, device='cuda:0', dtype=torch.float16), 0.3564453125)
Unit 93 -> (tensor(0.9463, device='cuda:0', dtype=torch.float16), 0.0478515625)
Unit 94 -> (tensor(0.9517, device='cuda:0', dtype=torch.float16), 1.91064453125)
Unit 95 -> (tensor(0.9868, device='cuda:0', dtype=torch.float16), 1.71240234375)
